"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"MM_cytoscanHD3042018_956_.CytoScanHD_Array.",98.2984474997012,0.83,2.1229938247305,1.95
"MM_cytoscanHD3042018_957_.CytoScanHD_Array.",96.7676573910043,0.63,2.838294275269,1.95
"X20131125_Cytoscan_MM_350_.CytoScanHD_Array.",98.6002662683522,0.73,2.17094539347324,1.85
"X20131125_Cytoscan_MM_351_.CytoScanHD_Array.",98.7639108286295,0.73,2.35432850713177,1.85
"X20131125_Cytoscan_MM_352_.CytoScanHD_Array.",98.5607926161021,0.82,2.08562420764022,1.9
"X20131125_Cytoscan_MM_353_.CytoScanHD_Array.",95.7998258951879,0.66,2.01047326322225,2
"X20131126_Cytoscan_MM_355_.CytoScanHD_Array.",99.2256777121888,0.79,2.24626877995893,1.9
"X20131126_Cytoscan_MM_356_.CytoScanHD_Array.",93.0455854288598,0.41,2.85842659863206,1.85
"MM__CytoscanHD_10052018_997_.CytoScanHD_Array.",98.791819739579,0.54,1.9575151136447,1.95
"X20131126_Cytoscan_MM_357_.CytoScanHD_Array.",96.6288375753703,0.7,1.9988697171374,2
"MM__CytoscanHD_03072018_1036_.CytoScanHD_Array.",92.1942867681092,0.79,3.89091598998838,3.9
"X20131126_Cytoscan_MM_358_.CytoScanHD_Array.",98.2551721902196,0.72,2.1842564616808,1.95
"X20131126_Cytoscan_MM_359_.CytoScanHD_Array.",97.972278566665,0.78,2.41230207087945,2
"X20131209_Cytoscan_MM_362_.CytoScanHD_Array.",94.8520431158787,0.57,1.96230431761909,2
"MM__CytoscanHD_03072018_1037_.CytoScanHD_Array.",99.0876374692219,0.66,2.04067904536993,1.95
"X20131126_Cytoscan_MM_360_.CytoScanHD_Array.",99.4251061248974,0.83,2.39005358762073,1.95
"X20131126_Cytoscan_MM_361_.CytoScanHD_Array.",99.3687774315588,0.89,1.8356012601713,1.95
"X20131209_Cytoscan_MM_363_.CytoScanHD_Array.",99.9171708649855,0.86,2.44767343389766,2
"X20131209_Cytoscan_MM_364_.CytoScanHD_Array.",97.0479404837331,0.81,2.13505247961324,1.9
"MM__CytoscanHD_03072018_1038_.CytoScanHD_Array.",99.0005301270344,0.82,2.39364184204998,1.9
"MM_cytoscanHD14032018_946_.CytoScanHD_Array.",94.3056184465743,0.81,4.16476897179593,3.85
"X20130725_Cytoscan_MM303_.CytoScanHD_Array.",88.5228479939675,0.72,2.04760706866536,1.95
"MM_cytoscanHD14032018_947_.CytoScanHD_Array.",97.2032225138801,0.8,4.89314429483676,3.9
"X20131209_Cytoscan_MM_365_.CytoScanHD_Array.",93.9405146877433,0.89,2.0796636265911,1.95
"X20131209_Cytoscan_MM_366_.CytoScanHD_Array.",90.4806724002962,0.62,2.4838267391205,2.05
"X20131209_Cytoscan_MM_367_.CytoScanHD_Array.",99.323815936718,0.91,1.88990937382022,2
"X20131209_Cytoscan_MM_368_.CytoScanHD_Array.",96.0162064811129,0.41,4.53660207706279,3.75
"MM__CytoscanHD_03072018_1039_.CytoScanHD_Array.",93.5162661386163,0.49,1.97986844475306,1.95
"X20131209_Cytoscan_MM_369_.CytoScanHD_Array.",95.4227704002415,0.29,3.91700543787803,3.9
"X20140107_Cytoscan_MM_Flores_370_.CytoScanHD_Array.",91.8850301313515,0.78,2.00950198039537,2.1
"X20140107_Cytoscan_MM_Flores_371_.CytoScanHD_Array.",98.6435931389031,0.61,2.16351771064528,1.9
"X20140107_Cytoscan_MM_Flores_372_.CytoScanHD_Array.",97.7496826489046,0.87,2.27093606086245,1.9
"X20140204_MART_MM_Cyto373_.CytoScanHD_Array.",91.1150942719363,0.72,1.94963577854137,2
"X20140204_MART_MM_Cyto374_.CytoScanHD_Array.",98.0335342223391,0.84,2.44782974552697,2.05
"X20140204_MART_MM_Cyto375_.CytoScanHD_Array.",98.857036509381,0.91,2.03254968847131,1.95
"X20150519_MG_MM_Cyto454_.CytoScanHD_Array.",99.7809483016183,0.74,2.11968631674113,2
"X20150519_MG_MM_Cyto455_.CytoScanHD_Array.",91.8785722510314,0.84,2.09018297678023,1.85
"X20140204_MART_MM_Cyto376_.CytoScanHD_Array.",97.8719005344188,1,2.38188889738084,2
"MM_cytoscanHD26012018_933_.CytoScanHD_Array.",98.6712330315437,0.83,1.95618588870843,1.95
"X20130711_Cytoscan_MM296_.CytoScanHD_Array.",97.9570562231284,0.86,1.95788764996027,2
"X20140204_MART_MM_Cyto377_.CytoScanHD_Array.",98.0514718815851,0.54,4.39508820469373,3.9
"X20140204_MART_MM_Cyto378_.CytoScanHD_Array.",94.1888202137853,0.8,1.99766646324392,2
"MM_cytoscanHD24012018_919_.CytoScanHD_Array.",99.4967275309369,0.51,2.81060138499017,2
"X20140204_MART_MM_Cyto379_.CytoScanHD_Array.",98.9705600301948,0.84,2.4061394752922,1.9
"X20140204_MART_MM_Cyto380_.CytoScanHD_Array.",87.8694696328936,0.72,4.27529435169656,4.2
"X20131001_Cytoscan_MM318_.CytoScanHD_Array.",94.4054517884511,0.8,1.89487793290736,1.9
"X20140217_MART_MM_Cyto382_.CytoScanHD_Array.",98.5909741416581,0.85,2.34979047712685,2
"X20140414_MART_MM_Cyto412_.CytoScanHD_Array.",93.2718464677237,0.71,1.99578073818263,1.9
"X20160727_MG_MM_Cyto605_.CytoScanHD_Array.",97.4993306282861,0.84,1.94466145858337,2
"X20140217_MART_MM_Cyto383_.CytoScanHD_Array.",99.3067127420604,0.85,2.24172306879286,2
"X20150326_MG_MM_Cyto438_.CytoScanHD_Array.",92.566070382721,0.65,4.49227947290336,3.8
"X20150326_MG_MM_Cyto439_.CytoScanHD_Array.",95.819392501223,0.79,1.90546679760486,2.05
"X20140217_MART_MM_Cyto384_.CytoScanHD_Array.",98.3003861992616,0.71,2.00026576817564,2.05
"X20140217_MART_MM_Cyto385_.CytoScanHD_Array.",98.5911425132205,0.77,1.88557835110818,2.05
"X20140217_MART_MM_Cyto386_.CytoScanHD_Array.",95.4072968445962,0.93,1.97893134309327,2.1
"X20140217_MART_MM_Cyto387_.CytoScanHD_Array.",98.8086296366524,0.45,1.96562104300183,2
"X20140310_MART_MM_Cyto388_.CytoScanHD_Array.",99.6807149342878,0.87,2.38671381875455,1.95
"X20140310_MART_MM_Cyto389_.CytoScanHD_Array.",99.0717271305697,0.71,1.92659882409104,2.05
"X20150326_MG_MM_Cyto440_.CytoScanHD_Array.",99.3680197389573,0.74,1.91518730703483,2.05
"X20140310_MART_MM_Cyto390_.CytoScanHD_Array.",93.4328155727325,0.63,2.2483092804173,2
"X20140310_MART_MM_Cyto391_.CytoScanHD_Array.",99.4310391521096,0.9,1.66082104699603,2.05
"X20140310_MART_MM_Cyto392_.CytoScanHD_Array.",97.6046281127426,0.86,1.99718178197562,1.9
"X20140310_MART_MM_Cyto394_.CytoScanHD_Array.",94.055239876872,0.86,2.15530770155463,1.95
"X20140319_MART_MM_Cyto396_.CytoScanHD_Array.",98.4731069706984,0.79,2.19309363757901,1.95
"X20140319_MART_MM_Cyto397_.CytoScanHD_Array.",98.1714492212529,0.6,2.0450142927206,1.8
"MM_cytoscanHD24012018_921_.CytoScanHD_Array.",98.4055612807169,0.84,1.94457965421717,2
"X20140319_MART_MM_Cyto398_.CytoScanHD_Array.",96.8958219964258,0.94,2,2.05
"X20140319_MART_MM_Cyto399_.CytoScanHD_Array.",98.1500922871467,0.86,2.27861875824045,1.9
"X20140319_MART_MM_Cyto400_.CytoScanHD_Array.",95.0744462287969,0.87,2.21405898286832,1.95
"X20140319_MART_MM_Cyto401_.CytoScanHD_Array.",89.6804930119472,0.75,5.1622722103655,5.8
"MM_cytoscanHD_09212017_849_.CytoScanHD_Array.",97.3590701303051,0.76,2.22982226177167,1.95
"MM_cytoscanHD_09212017_850_.CytoScanHD_Array.",97.0760240669989,0.72,2.00017052177744,2
"MM_cytoscanHD_14092017_832_.CytoScanHD_Array.",96.6571205316135,0.81,1.96603928222621,2
"X20140414_MART_MM_Cyto413_.CytoScanHD_Array.",98.5948420283707,0.66,2.41089296186726,2
"MM_cytoscanHD_14092017_833_.CytoScanHD_Array.",98.8499705684376,0.85,2.52303176966656,1.95
"MM_cytoscanHD_14092017_835_.CytoScanHD_Array.",95.6419190331249,0.87,1.87703267527546,1.95
"MM_cytoscanHD_09132017_837_.CytoScanHD_Array.",97.9845907198852,0.87,1.95590245386214,2
"MM_cytoscanHD_09132017_838_.CytoScanHD_Array.",99.1649708725895,0.77,2.3454801935499,1.95
"MM_cytoscanHD_09132017_839_.CytoScanHD_Array.",95.8055626946463,0.8,2.45400040633342,1.9
"MM_cytoscanHD_14092017_834_.CytoScanHD_Array.",98.6483099585647,0.75,1.93382833296144,1.9
"X20150422_MG_MM_Cyto452_.CytoScanHD_Array.",98.5994533597412,0.77,2.02988855019236,2
"X20140414_MART_MM_Cyto414_.CytoScanHD_Array.",98.7817690222334,0.89,2.32689946473829,1.95
"X20140414_MART_MM_Cyto415_.CytoScanHD_Array.",96.8530130572549,0.81,4.21650043993851,3.9
"MM_cytoscanHD24012018_922_.CytoScanHD_Array.",91.0411867857069,0.49,3.9741770884021,4.05
"X20150305_MG_MM_Cyto430_.CytoScanHD_Array.",89.0565100845283,0.63,2.07671713317559,1.95
"MM_cytoscanHD24012018_923_.CytoScanHD_Array.",95.9279880382518,0.86,1.91566814772255,1.9
"MM_cytoscanHD24012018_924_.CytoScanHD_Array.",96.9943182861712,0.88,1.90252491288603,1.95
"X20150422_MG_MM_Cyto447_.CytoScanHD_Array.",91.913686688255,0.79,1.96430449198144,2.2
"X20150422_MG_MM_Cyto448_.CytoScanHD_Array._2",98.9051395064795,0.76,1.99997580434239,2
"X20150422_MG_MM_Cyto449_.CytoScanHD_Array.",99.2993745655724,0.77,2.0141748147784,2
"X20150305_MG_MM_Cyto431_.CytoScanHD_Array.",98.8062350591492,0.79,2.23931963347035,2
"X20150305_MG_MM_Cyto432_.CytoScanHD_Array.",99.4224819383074,0.7,2.42829808896551,2
"X20150422_MG_MM_Cyto446_.CytoScanHD_Array.",99.5597617587601,0.82,1.85967824384077,2
"X20150305_MG_MM_Cyto434_.CytoScanHD_Array.",99.2708200417056,0.79,2.24769017882895,1.95
"X20160725_MG_MM_Cyto601_.CytoScanHD_Array.",95.4025823308392,0.63,2.00517441420585,2
"X20150519_MG_MM_Cyto461_.CytoScanHD_Array.",99.0778693413431,0.74,2.28506670896426,1.9
"X20150305_MG_MM_Cyto435_.CytoScanHD_Array.",95.1155965353505,0.85,1.98907815696683,2.05
"X20150326_MG_MM_Cyto441_.CytoScanHD_Array.",96.9063640077535,0.5,2.26078886293083,1.85
"X20150422_MG_MM_Cyto451_.CytoScanHD_Array.",98.1625021095379,0.82,1.94020177642214,1.9
"X20150305_MG_MM_Cyto436_.CytoScanHD_Array.",95.99756579469,0.65,2.00013096379754,2.05
"X20150326_MG_MM_Cyto442_.CytoScanHD_Array.",98.2023104687093,0.71,2.56775148985722,2.15
"X20150326_MG_MM_Cyto444_.CytoScanHD_Array.",99.3961257294864,0.88,2.39890113308649,1.95
"X20150326_MG_MM_Cyto445_.CytoScanHD_Array.",95.7511994133124,0.75,2.37154160520138,1.8
"X20150519_MG_MM_Cyto457_.CytoScanHD_Array.",94.8252767921326,0.6,4.06517042768321,3.9
"X20150519_MG_MM_Cyto458_.CytoScanHD_Array.",98.9613761656007,0.83,1.96148358555066,2
"X20150519_MG_MM_Cyto459_.CytoScanHD_Array.",99.2362166596932,0.68,2.41924584055523,1.95
"X20150519_MG_MM_Cyto460_.CytoScanHD_Array.",96.0808472363086,0.63,2.08421970732472,1.95
"MM_cytoscanHD14032018_948_.CytoScanHD_Array.",90.876702204673,0.31,1.99449836832934,1.95
"X20150519_MG_MM_Cyto463_.CytoScanHD_Array.",97.8483886522082,0.77,3.93732210910859,4.05
"X20150519_MG_MM_Cyto464_.CytoScanHD_Array.",98.8943360331771,0.83,2.30376803200586,1.9
"X20150519_MG_MM_Cyto465_.CytoScanHD_Array.",90.798304055169,0.86,1.91060741470167,1.65
"X20150519_MG_MM_Cyto466_.CytoScanHD_Array.",98.4380491974358,0.82,2.0014198626378,2
"X20150519_MG_MM_Cyto467_.CytoScanHD_Array.",90.5317825630272,0.45,2.69865038158089,1.85
"MM_cytoscanHD24012018_925_.CytoScanHD_Array.",98.0320395050434,0.87,1.96263499160641,2.05
"MM_cytoscanHD_10022017_852_.CytoScanHD_Array.",96.9190092037868,0.88,2.18056028693746,1.9
