# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MMRF_1499_1_BM	-1.208000	0.248000
MMRF_1501_1_BM	-1.093000	2.064000
MMRF_1502_1_BM	-1.083000	2.037000
MMRF_1505_1_BM	-1.087000	1.016000
MMRF_1506_1_BM	-1.114000	0.100000
MMRF_1510_1_BM	-1.020000	1.913000
MMRF_1511_1_BM	-0.955000	1.070000
MMRF_1512_1_BM	-0.241000	1.119000
MMRF_1516_1_BM	-0.231000	0.100000
MMRF_1519_1_BM	-1.110000	1.992000
MMRF_1522_1_BM	-0.100000	1.724000
MMRF_1523_1_BM	-1.076000	0.976000
MMRF_1525_1_BM	-0.100000	0.976000
MMRF_1531_1_BM	-0.936000	1.017000
MMRF_1533_1_BM	-1.049000	1.955000
MMRF_1534_1_BM	-0.100000	0.947000
MMRF_1535_1_BM	-0.932000	0.945000
MMRF_1537_1_BM	-0.760000	1.243000
MMRF_1538_1_BM	-0.100000	1.826000
MMRF_1539_1_BM	-0.100000	1.041000
MMRF_1540_1_BM	-0.760000	0.100000
MMRF_1541_1_BM	-0.100000	0.880000
MMRF_1542_1_BM	-0.943000	1.146000
MMRF_1543_1_BM	-0.100000	2.051000
MMRF_1546_1_BM	-0.941000	1.741000
MMRF_1547_1_BM	-0.942000	0.327000
MMRF_1550_1_BM	-1.076000	1.993000
MMRF_1555_1_BM	-1.091000	2.055000
MMRF_1556_1_BM	-0.100000	0.100000
MMRF_1560_1_BM	-1.050000	1.061000
MMRF_1564_1_BM	-0.332000	1.669000
MMRF_1565_1_BM	-0.100000	1.082000
MMRF_1568_1_BM	-1.099000	1.022000
MMRF_1570_1_BM	-0.100000	0.993000
MMRF_1572_1_BM	-1.059000	0.229000
MMRF_1573_1_BM	-0.100000	1.996000
MMRF_1574_1_BM	-0.246000	1.973000
MMRF_1576_1_BM	-1.041000	1.820000
MMRF_1577_1_BM	-0.233000	1.088000
MMRF_1579_1_BM	-0.348000	0.912000
MMRF_1580_1_BM	-1.079000	0.100000
MMRF_1583_1_BM	-1.127000	0.957000
MMRF_1586_1_BM	-1.084000	0.996000
MMRF_1587_1_BM	-1.164000	0.898000
MMRF_1588_1_BM	-0.285000	0.968000
MMRF_1589_1_BM	-0.721000	0.956000
MMRF_1593_1_BM	-1.065000	0.254000
MMRF_1595_1_BM	-1.011000	0.100000
MMRF_1596_1_BM	-1.154000	1.772000
MMRF_1597_1_BM	-1.034000	1.069000
MMRF_1598_1_BM	-1.079000	0.915000
MMRF_1601_1_BM	-0.235000	0.100000
MMRF_1602_1_BM	-0.843000	0.100000
MMRF_1603_1_BM	-0.848000	1.014000
MMRF_1605_1_BM	-1.099000	0.913000
MMRF_1607_1_BM	-0.100000	0.576000
MMRF_1608_1_BM	-0.972000	1.951000
MMRF_1610_1_BM	-1.043000	0.100000
MMRF_1613_1_BM	-1.102000	1.085000
MMRF_1614_1_BM	-0.555000	2.085000
MMRF_1617_1_BM	-0.100000	0.100000
MMRF_1618_1_BM	-1.060000	1.163000
MMRF_1621_1_BM	-0.993000	2.047000
MMRF_1622_1_BM	-1.087000	2.089000
MMRF_1624_1_BM	-1.049000	1.644000
MMRF_1625_1_BM	-0.223000	1.179000
MMRF_1627_1_BM	-1.061000	1.960000
MMRF_1628_1_BM	-1.018000	1.024000
MMRF_1629_1_BM	-0.945000	0.980000
MMRF_1630_1_BM	-0.246000	1.544000
MMRF_1633_1_BM	-0.907000	2.019000
MMRF_1634_1_BM	-1.051000	1.100000
MMRF_1637_1_BM	-0.552000	0.947000
MMRF_1639_1_BM	-1.122000	1.320000
MMRF_1640_1_BM	-1.175000	2.417000
MMRF_1641_1_BM	-0.991000	2.012000
MMRF_1642_1_BM	-0.100000	1.509000
MMRF_1643_1_BM	-0.846000	1.831000
MMRF_1644_1_BM	-1.099000	1.050000
MMRF_1645_1_BM	-0.100000	1.112000
MMRF_1646_1_BM	-0.100000	1.760000
MMRF_1647_1_BM	-0.441000	0.100000
MMRF_1648_1_BM	-0.100000	2.927000
MMRF_1650_1_BM	-0.100000	0.100000
MMRF_1651_1_BM	-1.114000	1.076000
MMRF_1652_1_BM	-0.995000	2.374000
MMRF_1654_1_BM	-0.839000	0.860000
MMRF_1655_1_BM	-0.100000	1.110000
MMRF_1656_1_BM	-0.100000	1.760000
MMRF_1659_1_BM	-0.332000	2.577000
MMRF_1664_1_BM	-1.117000	0.100000
MMRF_1665_1_BM	-1.023000	1.820000
MMRF_1667_1_BM	-0.426000	0.975000
MMRF_1668_1_BM	-1.110000	0.857000
MMRF_1670_1_BM	-0.695000	0.100000
MMRF_1671_1_BM	-0.100000	1.025000
MMRF_1672_1_BM	-1.092000	2.074000
MMRF_1674_1_BM	-1.064000	0.996000
MMRF_1676_1_BM	-0.316000	2.060000
MMRF_1677_1_BM	-0.100000	1.079000
MMRF_1678_1_BM	-0.932000	0.953000
MMRF_1680_1_BM	-1.077000	1.031000
MMRF_1682_1_BM	-0.100000	1.373000
MMRF_1683_1_BM	-1.121000	1.850000
MMRF_1686_1_BM	-0.100000	1.556000
MMRF_1687_1_BM	-0.985000	0.543000
MMRF_1689_1_BM	-1.073000	1.869000
MMRF_1690_1_BM	-0.971000	1.960000
MMRF_1694_1_BM	-1.068000	0.100000
MMRF_1695_1_BM	-0.100000	1.181000
MMRF_1698_1_BM	-0.100000	1.069000
MMRF_1700_1_BM	-1.019000	1.951000
MMRF_1705_1_BM	-0.884000	0.780000
MMRF_1706_1_BM	-0.282000	0.777000
MMRF_1710_1_BM	-0.731000	0.615000
MMRF_1713_1_BM	-1.072000	1.951000
MMRF_1714_1_BM	-1.102000	1.012000
MMRF_1715_1_BM	-1.017000	1.094000
MMRF_1716_1_BM	-0.866000	2.234000
MMRF_1718_1_BM	-0.982000	0.972000
MMRF_1719_1_BM	-0.289000	1.825000
MMRF_1720_1_BM	-0.100000	1.067000
MMRF_1721_1_BM	-1.061000	0.100000
MMRF_1722_1_BM	-1.071000	0.100000
MMRF_1723_1_BM	-1.085000	1.779000
MMRF_1725_1_BM	-1.058000	0.839000
MMRF_1726_1_BM	-1.105000	2.001000
MMRF_1727_1_BM	-0.482000	1.044000
MMRF_1730_1_BM	-1.059000	0.984000
MMRF_1733_1_BM	-0.220000	1.748000
MMRF_1735_1_BM	-0.225000	1.863000
MMRF_1736_1_BM	-1.093000	1.227000
MMRF_1738_1_BM	-1.049000	1.918000
MMRF_1739_1_BM	-1.057000	2.009000
MMRF_1740_1_BM	-0.100000	0.973000
MMRF_1744_1_BM	-1.088000	0.335000
MMRF_1746_1_BM	-0.217000	0.537000
MMRF_1750_1_BM	-1.051000	1.136000
MMRF_1753_1_BM	-0.100000	0.100000
MMRF_1755_1_BM	-0.868000	1.402000
MMRF_1758_1_BM	-1.202000	1.611000
MMRF_1759_1_BM	-1.057000	1.151000
MMRF_1760_1_BM	-1.045000	0.100000
MMRF_1761_1_BM	-0.920000	1.795000
MMRF_1763_1_BM	-0.946000	1.150000
MMRF_1766_1_BM	-0.100000	1.229000
MMRF_1768_1_BM	-1.054000	1.978000
MMRF_1771_1_BM	-0.648000	2.046000
MMRF_1772_1_BM	-0.911000	0.943000
MMRF_1773_1_BM	-1.055000	0.100000
MMRF_1774_1_BM	-1.112000	1.008000
MMRF_1775_1_BM	-0.100000	1.844000
MMRF_1777_1_BM	-0.100000	1.545000
MMRF_1778_1_BM	-1.056000	1.014000
MMRF_1780_1_BM	-1.013000	1.865000
MMRF_1781_1_BM	-1.052000	0.966000
MMRF_1782_1_BM	-1.055000	1.065000
MMRF_1783_1_BM	-1.091000	0.943000
MMRF_1784_1_BM	-0.293000	2.038000
MMRF_1785_1_BM	-1.053000	2.082000
MMRF_1786_1_BM	-1.008000	2.122000
MMRF_1787_1_BM	-1.046000	1.028000
MMRF_1790_1_BM	-0.208000	0.440000
MMRF_1792_1_BM	-1.021000	1.947000
MMRF_1793_1_BM	-0.220000	1.847000
MMRF_1794_1_BM	-1.060000	0.770000
MMRF_1795_1_BM	-0.100000	2.131000
MMRF_1796_1_BM	-0.100000	1.996000
MMRF_1797_1_BM	-1.055000	1.059000
MMRF_1801_1_BM	-0.207000	1.097000
MMRF_1802_1_BM	-0.100000	1.864000
MMRF_1803_1_BM	-1.045000	1.706000
MMRF_1805_1_BM	-0.314000	0.244000
MMRF_1808_1_BM	-0.100000	1.908000
MMRF_1810_1_BM	-1.106000	1.122000
MMRF_1814_1_BM	-1.012000	2.791000
MMRF_1815_1_BM	-1.085000	1.010000
MMRF_1816_1_BM	-1.107000	1.819000
MMRF_1817_1_BM	-1.081000	1.108000
MMRF_1819_1_BM	-0.100000	0.100000
MMRF_1820_1_BM	-0.100000	1.508000
MMRF_1822_1_BM	-1.112000	0.100000
MMRF_1823_1_BM	-1.051000	0.642000
MMRF_1824_1_BM	-0.100000	1.315000
MMRF_1825_1_BM	-1.066000	1.135000
MMRF_1830_1_BM	-1.071000	1.283000
MMRF_1831_1_BM	-0.989000	1.752000
MMRF_1832_1_BM	-1.106000	0.100000
MMRF_1833_1_BM	-1.047000	1.964000
MMRF_1834_1_BM	-0.213000	1.924000
MMRF_1835_1_BM	-0.100000	0.220000
MMRF_1837_1_BM	-1.069000	1.045000
MMRF_1838_1_BM	-0.252000	0.100000
MMRF_1839_1_BM	-1.076000	1.595000
MMRF_1841_1_BM	-1.050000	1.210000
MMRF_1842_1_BM	-1.102000	0.919000
MMRF_1845_1_BM	-0.573000	0.972000
MMRF_1846_1_BM	-1.102000	1.099000
MMRF_1847_1_BM	-1.091000	1.175000
MMRF_1850_1_BM	-0.100000	2.013000
MMRF_1851_1_BM	-1.122000	1.003000
MMRF_1854_1_BM	-1.068000	1.611000
MMRF_1855_1_BM	-1.117000	0.957000
MMRF_1856_1_BM	-0.100000	0.100000
MMRF_1858_1_BM	-1.065000	1.052000
MMRF_1859_1_BM	-0.640000	1.670000
MMRF_1860_1_BM	-0.100000	0.100000
MMRF_1861_1_BM	-0.568000	1.157000
MMRF_1862_1_BM	-0.713000	0.381000
MMRF_1865_1_BM	-0.912000	0.100000
MMRF_1866_1_BM	-1.069000	0.969000
MMRF_1867_1_BM	-0.534000	2.194000
MMRF_1871_1_BM	-1.106000	1.916000
MMRF_1873_1_BM	-1.101000	2.043000
MMRF_1876_1_BM	-1.058000	1.128000
MMRF_1879_1_BM	-1.062000	1.176000
MMRF_1880_1_BM	-0.100000	2.028000
MMRF_1881_1_BM	-0.100000	1.154000
MMRF_1882_1_BM	-0.592000	1.755000
MMRF_1886_1_BM	-1.015000	1.928000
MMRF_1888_1_BM	-1.069000	1.229000
MMRF_1890_1_BM	-1.085000	0.720000
MMRF_1891_1_BM	-1.117000	1.032000
MMRF_1893_1_BM	-0.247000	1.044000
MMRF_1895_1_BM	-0.482000	2.014000
MMRF_1900_1_BM	-0.611000	2.109000
MMRF_1906_1_BM	-0.215000	0.947000
MMRF_1908_1_BM	-1.026000	0.521000
MMRF_1911_1_BM	-1.069000	0.100000
MMRF_1915_1_BM	-0.705000	1.092000
MMRF_1916_1_BM	-0.652000	0.989000
MMRF_1917_1_BM	-1.035000	0.100000
MMRF_1918_1_BM	-0.201000	0.785000
MMRF_1921_1_BM	-0.100000	1.780000
MMRF_1922_1_BM	-0.516000	1.895000
MMRF_1927_1_BM	-1.018000	0.882000
MMRF_1928_1_BM	-0.280000	1.035000
MMRF_1929_1_BM	-1.101000	0.100000
MMRF_1930_1_BM	-1.106000	1.010000
MMRF_1931_1_BM	-0.141000	0.986000
MMRF_1932_1_BM	-1.047000	1.284000
MMRF_1940_1_BM	-0.374000	0.740000
MMRF_1955_1_BM	-1.084000	1.021000
MMRF_1957_1_BM	-0.206000	0.906000
