# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MM_cytoscanHD14032018_946_.CytoScanHD_Array.	-1.197000	1.559000
X20130725_Cytoscan_MM303_.CytoScanHD_Array.	-1.343000	1.744000
MM_cytoscanHD14032018_947_.CytoScanHD_Array.	-1.172000	2.700000
X20131209_Cytoscan_MM_365_.CytoScanHD_Array.	-1.258000	1.430000
X20131209_Cytoscan_MM_366_.CytoScanHD_Array.	-0.326000	2.887000
X20131209_Cytoscan_MM_367_.CytoScanHD_Array.	-1.534000	0.231000
X20131209_Cytoscan_MM_368_.CytoScanHD_Array.	-1.101000	3.390000
MM__CytoscanHD_03072018_1039_.CytoScanHD_Array.	-0.100000	0.328000
X20131209_Cytoscan_MM_369_.CytoScanHD_Array.	-1.124000	0.100000
X20140107_Cytoscan_MM_Flores_370_.CytoScanHD_Array.	-1.087000	2.491000
X20140107_Cytoscan_MM_Flores_371_.CytoScanHD_Array.	-1.081000	1.377000
X20140107_Cytoscan_MM_Flores_372_.CytoScanHD_Array.	-1.305000	2.608000
X20140204_MART_MM_Cyto373_.CytoScanHD_Array.	-0.438000	0.601000
X20140204_MART_MM_Cyto374_.CytoScanHD_Array.	-1.226000	2.613000
X20140204_MART_MM_Cyto375_.CytoScanHD_Array.	-1.223000	1.328000
X20150519_MG_MM_Cyto454_.CytoScanHD_Array.	-1.054000	1.101000
X20150519_MG_MM_Cyto455_.CytoScanHD_Array.	-1.302000	1.879000
X20140204_MART_MM_Cyto376_.CytoScanHD_Array.	-0.382000	1.880000
MM_cytoscanHD26012018_933_.CytoScanHD_Array.	-1.138000	1.107000
X20130711_Cytoscan_MM296_.CytoScanHD_Array.	-1.282000	1.302000
X20140204_MART_MM_Cyto377_.CytoScanHD_Array.	-0.100000	1.934000
X20140204_MART_MM_Cyto378_.CytoScanHD_Array.	-0.418000	0.431000
MM_cytoscanHD24012018_919_.CytoScanHD_Array.	-0.100000	2.227000
X20140204_MART_MM_Cyto379_.CytoScanHD_Array.	-1.147000	2.492000
X20140204_MART_MM_Cyto380_.CytoScanHD_Array.	-1.252000	0.822000
X20131001_Cytoscan_MM318_.CytoScanHD_Array.	-1.326000	1.377000
X20140217_MART_MM_Cyto382_.CytoScanHD_Array.	-1.253000	2.027000
X20140414_MART_MM_Cyto412_.CytoScanHD_Array.	-0.100000	0.549000
X20160727_MG_MM_Cyto605_.CytoScanHD_Array.	-1.203000	1.204000
X20140217_MART_MM_Cyto383_.CytoScanHD_Array.	-1.212000	2.548000
X20150326_MG_MM_Cyto438_.CytoScanHD_Array.	-1.189000	1.264000
X20150326_MG_MM_Cyto439_.CytoScanHD_Array.	-1.600000	1.216000
X20140217_MART_MM_Cyto384_.CytoScanHD_Array.	-0.100000	0.239000
X20140217_MART_MM_Cyto385_.CytoScanHD_Array.	-1.116000	1.669000
X20140217_MART_MM_Cyto386_.CytoScanHD_Array.	-1.147000	0.885000
X20140217_MART_MM_Cyto387_.CytoScanHD_Array.	-1.596000	1.108000
X20140310_MART_MM_Cyto388_.CytoScanHD_Array.	-0.291000	2.340000
X20140310_MART_MM_Cyto389_.CytoScanHD_Array.	-1.126000	0.100000
X20150326_MG_MM_Cyto440_.CytoScanHD_Array.	-1.174000	1.058000
X20140310_MART_MM_Cyto390_.CytoScanHD_Array.	-0.389000	1.318000
X20140310_MART_MM_Cyto391_.CytoScanHD_Array.	-1.187000	0.277000
X20140310_MART_MM_Cyto392_.CytoScanHD_Array.	-1.256000	1.220000
X20140310_MART_MM_Cyto394_.CytoScanHD_Array.	-1.181000	2.026000
X20140319_MART_MM_Cyto396_.CytoScanHD_Array.	-1.179000	1.305000
X20140319_MART_MM_Cyto397_.CytoScanHD_Array.	-1.173000	1.530000
MM_cytoscanHD24012018_921_.CytoScanHD_Array.	-1.221000	0.280000
X20140319_MART_MM_Cyto398_.CytoScanHD_Array.	-0.100000	0.100000
X20140319_MART_MM_Cyto399_.CytoScanHD_Array.	-1.329000	2.794000
X20140319_MART_MM_Cyto400_.CytoScanHD_Array.	-1.152000	2.320000
X20140319_MART_MM_Cyto401_.CytoScanHD_Array.	-1.244000	1.025000
MM_cytoscanHD_09212017_849_.CytoScanHD_Array.	-0.100000	2.832000
MM_cytoscanHD_09212017_850_.CytoScanHD_Array.	-0.100000	0.100000
MM_cytoscanHD_14092017_832_.CytoScanHD_Array.	-1.344000	0.744000
X20140414_MART_MM_Cyto413_.CytoScanHD_Array.	-1.067000	3.011000
MM_cytoscanHD_14092017_833_.CytoScanHD_Array.	-1.347000	4.863000
MM_cytoscanHD_14092017_835_.CytoScanHD_Array.	-1.600000	2.148000
MM_cytoscanHD_09132017_837_.CytoScanHD_Array.	-1.600000	1.274000
MM_cytoscanHD_09132017_838_.CytoScanHD_Array.	-0.100000	2.537000
MM_cytoscanHD_09132017_839_.CytoScanHD_Array.	-1.171000	2.484000
MM_cytoscanHD_14092017_834_.CytoScanHD_Array.	-1.290000	1.372000
X20150422_MG_MM_Cyto452_.CytoScanHD_Array.	-0.100000	1.084000
X20140414_MART_MM_Cyto414_.CytoScanHD_Array.	-0.402000	1.725000
X20140414_MART_MM_Cyto415_.CytoScanHD_Array.	-1.162000	1.727000
MM_cytoscanHD24012018_922_.CytoScanHD_Array.	-1.600000	0.903000
X20150305_MG_MM_Cyto430_.CytoScanHD_Array.	-1.201000	1.646000
MM_cytoscanHD24012018_923_.CytoScanHD_Array.	-1.322000	2.921000
MM_cytoscanHD24012018_924_.CytoScanHD_Array.	-1.251000	1.493000
X20150422_MG_MM_Cyto447_.CytoScanHD_Array.	-1.136000	0.277000
X20150422_MG_MM_Cyto448_.CytoScanHD_Array._2	-0.100000	0.100000
X20150422_MG_MM_Cyto449_.CytoScanHD_Array.	-0.100000	0.716000
X20150305_MG_MM_Cyto431_.CytoScanHD_Array.	-1.258000	1.434000
X20150305_MG_MM_Cyto432_.CytoScanHD_Array.	-0.100000	1.973000
