"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"MM_cytoscanHD_08302017_824_.CytoScanHD_Array.",96.7052957475676,0.85,1.87851437126047,2.1
"MM_cytoscanHD_08302017_825_.CytoScanHD_Array.",99.045229895542,0.89,2.17980254039043,1.9
"MM_cytoscanHD_08302017_826_.CytoScanHD_Array.",98.1458254268823,0.81,1.9951021075954,2.05
"MM_cytoscanHD_08302017_827_.CytoScanHD_Array.",95.2962180975939,0.89,1.96230969443189,2.05
"MM_cytoscanHD_08302017_828_.CytoScanHD_Array.",99.6729417440596,0.9,1.62221169049683,1.95
"MM_cytoscanHD_08302017_829_.CytoScanHD_Array.",97.5311393751952,0.83,1.9352071013871,2.05
"MM_cytoscanHD_09132017_840_.CytoScanHD_Array.",91.7737634587787,0.71,4.57345052736932,3.85
"MM_cytoscanHD_09132017_841_.CytoScanHD_Array.",99.3126285672622,0.91,1.88203848799415,1.95
"MM_cytoscanHD_09132017_842_.CytoScanHD_Array.",98.8934641453059,0.8,2.32707536332852,1.85
"MM_cytoscanHD_10192017_864_.CytoScanHD_Array.",97.8385540437268,0.84,1.96347607875187,2
"MM_cytoscanHD_10262017_870_.CytoScanHD_Array.",90.8565933396533,0.72,3.83446521643784,3.95
"MM_cytoscanHD_10262017_871_.CytoScanHD_Array.",99.1210406381044,0.81,1.98832194665203,2.05
"MM_cytoscanHD_10262017_872_.CytoScanHD_Array.",88.8066308932987,0.66,3.46512349578861,3.65
"MM__CytoscanHD_31052018_1016_.CytoScanHD_Array.",97.8570965495314,0.87,2.23754259683928,1.95
"MM__CytoscanHD_31052018_1017_.CytoScanHD_Array.",97.4922243824599,0.85,1.97194647920537,2
"MM__CytoscanHD_11062018_1022_.CytoScanHD_Array.",98.2219718302139,0.87,2.3392200472161,1.95
"MM_cytoscanHD_10192017_859_.CytoScanHD_Array.",96.1872936237941,0.72,3.92048500387707,3.95
