sample	segment_count	included
MMRF_1546_1_BM	49	yes
MMRF_1547_1_BM	144	yes
MMRF_1550_1_BM	52	yes
MMRF_1555_1_BM	61	yes
MMRF_1556_1_BM	42	yes
MMRF_1560_1_BM	48	yes
MMRF_1564_1_BM	55	yes
MMRF_1565_1_BM	46	yes
MMRF_1568_1_BM	91	yes
MMRF_1570_1_BM	36	yes
MMRF_1572_1_BM	46	yes
MMRF_1573_1_BM	61	yes
MMRF_1574_1_BM	51	yes
MMRF_1576_1_BM	68	yes
MMRF_1577_1_BM	45	yes
MMRF_1579_1_BM	102	yes
MMRF_1580_1_BM	54	yes
MMRF_1583_1_BM	63	yes
MMRF_1586_1_BM	61	yes
MMRF_1587_1_BM	101	yes
MMRF_1588_1_BM	51	yes
MMRF_1589_1_BM	41	yes
MMRF_1593_1_BM	44	yes
MMRF_1595_1_BM	84	yes
MMRF_1596_1_BM	60	yes
MMRF_1597_1_BM	80	yes
MMRF_1598_1_BM	93	yes
MMRF_1601_1_BM	35	yes
MMRF_1602_1_BM	42	yes
MMRF_1603_1_BM	49	yes
MMRF_1605_1_BM	40	yes
MMRF_1607_1_BM	33	yes
MMRF_1608_1_BM	49	yes
MMRF_1610_1_BM	65	yes
MMRF_1613_1_BM	75	yes
MMRF_1614_1_BM	58	yes
MMRF_1617_1_BM	69	yes
MMRF_1618_1_BM	76	yes
MMRF_1621_1_BM	72	yes
MMRF_1622_1_BM	52	yes
MMRF_1624_1_BM	174	yes
MMRF_1625_1_BM	94	yes
MMRF_1627_1_BM	55	yes
MMRF_1628_1_BM	91	yes
MMRF_1629_1_BM	55	yes
MMRF_1630_1_BM	120	yes
MMRF_1633_1_BM	85	yes
MMRF_1634_1_BM	65	yes
MMRF_1637_1_BM	93	yes
MMRF_1639_1_BM	57	yes
MMRF_1640_1_BM	68	yes
MMRF_1641_1_BM	140	yes
MMRF_1642_1_BM	142	yes
MMRF_1643_1_BM	67	yes
MMRF_1644_1_BM	58	yes
MMRF_1645_1_BM	38	yes
MMRF_1646_1_BM	107	yes
MMRF_1647_1_BM	35	yes
MMRF_1648_1_BM	63	yes
MMRF_1650_1_BM	56	yes
MMRF_1651_1_BM	60	yes
MMRF_1652_1_BM	87	yes
MMRF_1654_1_BM	64	yes
MMRF_1655_1_BM	115	yes
MMRF_1656_1_BM	71	yes
MMRF_1659_1_BM	119	yes
MMRF_1664_1_BM	112	yes
MMRF_1665_1_BM	60	yes
MMRF_1667_1_BM	80	yes
MMRF_1668_1_BM	80	yes
MMRF_1670_1_BM	64	yes
MMRF_1671_1_BM	94	yes
MMRF_1672_1_BM	58	yes
MMRF_1674_1_BM	52	yes
MMRF_1676_1_BM	52	yes
MMRF_1677_1_BM	74	yes
MMRF_1678_1_BM	64	yes
MMRF_1680_1_BM	70	yes
MMRF_1682_1_BM	80	yes
MMRF_1683_1_BM	57	yes
MMRF_1686_1_BM	48	yes
MMRF_1687_1_BM	48	yes
MMRF_1689_1_BM	64	yes
MMRF_1690_1_BM	66	yes
MMRF_1694_1_BM	52	yes
MMRF_1695_1_BM	77	yes
MMRF_1698_1_BM	66	yes
MMRF_1700_1_BM	79	yes
MMRF_1705_1_BM	38	yes
MMRF_1706_1_BM	50	yes
MMRF_1710_1_BM	41	yes
MMRF_1713_1_BM	53	yes
MMRF_1714_1_BM	50	yes
MMRF_1715_1_BM	79	yes
MMRF_1716_1_BM	44	yes
MMRF_1718_1_BM	35	yes
MMRF_1719_1_BM	56	yes
MMRF_1720_1_BM	48	yes
MMRF_1721_1_BM	119	yes
MMRF_1722_1_BM	50	yes
MMRF_1723_1_BM	78	yes
MMRF_1725_1_BM	55	yes
MMRF_1726_1_BM	48	yes
MMRF_1727_1_BM	50	yes
MMRF_1730_1_BM	93	yes
MMRF_1733_1_BM	39	yes
MMRF_1735_1_BM	41	yes
MMRF_1736_1_BM	50	yes
MMRF_1738_1_BM	107	yes
MMRF_1739_1_BM	50	yes
MMRF_1740_1_BM	63	yes
MMRF_1744_1_BM	79	yes
MMRF_1746_1_BM	48	yes
MMRF_1750_1_BM	59	yes
MMRF_1753_1_BM	48	yes
MMRF_1755_1_BM	61	yes
MMRF_1758_1_BM	60	yes
MMRF_1759_1_BM	51	yes
MMRF_1760_1_BM	33	yes
MMRF_1761_1_BM	51	yes
MMRF_1763_1_BM	47	yes
MMRF_1766_1_BM	60	yes
MMRF_1768_1_BM	50	yes
MMRF_1771_1_BM	81	yes
MMRF_1772_1_BM	76	yes
MMRF_1773_1_BM	39	yes
MMRF_1774_1_BM	69	yes
MMRF_1775_1_BM	41	yes
MMRF_1777_1_BM	58	yes
MMRF_1778_1_BM	103	yes
MMRF_1780_1_BM	48	yes
MMRF_1781_1_BM	96	yes
MMRF_1782_1_BM	37	yes
MMRF_1783_1_BM	76	yes
MMRF_1784_1_BM	75	yes
MMRF_1785_1_BM	57	yes
MMRF_1786_1_BM	62	yes
MMRF_1787_1_BM	92	yes
MMRF_1790_1_BM	43	yes
MMRF_1792_1_BM	58	yes
MMRF_1793_1_BM	53	yes
MMRF_1794_1_BM	73	yes
MMRF_1795_1_BM	91	yes
MMRF_1796_1_BM	48	yes
MMRF_1797_1_BM	52	yes
MMRF_1801_1_BM	64	yes
MMRF_1802_1_BM	91	yes
MMRF_1803_1_BM	111	yes
MMRF_1805_1_BM	69	yes
MMRF_1808_1_BM	43	yes
MMRF_1810_1_BM	38	yes
MMRF_1814_1_BM	51	yes
MMRF_1815_1_BM	80	yes
MMRF_1816_1_BM	100	yes
MMRF_1817_1_BM	45	yes
MMRF_1819_1_BM	50	yes
MMRF_1820_1_BM	44	yes
MMRF_1822_1_BM	34	yes
MMRF_1823_1_BM	43	yes
MMRF_1824_1_BM	69	yes
MMRF_1825_1_BM	49	yes
MMRF_1830_1_BM	71	yes
MMRF_1831_1_BM	109	yes
MMRF_1832_1_BM	35	yes
MMRF_1833_1_BM	64	yes
MMRF_1834_1_BM	41	yes
MMRF_1835_1_BM	40	yes
MMRF_1837_1_BM	48	yes
MMRF_1838_1_BM	60	yes
MMRF_1839_1_BM	112	yes
MMRF_1841_1_BM	91	yes
MMRF_1842_1_BM	44	yes
MMRF_1845_1_BM	77	yes
MMRF_1846_1_BM	94	yes
MMRF_1847_1_BM	124	yes
MMRF_1850_1_BM	38	yes
MMRF_1851_1_BM	48	yes
MMRF_1854_1_BM	50	yes
MMRF_1855_1_BM	80	yes
MMRF_1856_1_BM	48	yes
MMRF_1858_1_BM	49	yes
MMRF_1859_1_BM	62	yes
MMRF_1860_1_BM	44	yes
MMRF_1861_1_BM	50	yes
MMRF_1862_1_BM	49	yes
MMRF_1865_1_BM	56	yes
MMRF_1866_1_BM	54	yes
MMRF_1867_1_BM	83	yes
MMRF_1871_1_BM	57	yes
MMRF_1873_1_BM	73	yes
MMRF_1876_1_BM	81	yes
