sample	segment_count	included
MMRF_2707_1_BM	43	yes
MMRF_2708_1_BM	64	yes
MMRF_2709_1_BM	77	yes
MMRF_2714_1_BM	91	yes
MMRF_2715_1_BM	77	yes
MMRF_2716_1_BM	63	yes
MMRF_2718_1_BM	47	yes
MMRF_2719_1_BM	81	yes
MMRF_2721_1_BM	42	yes
MMRF_2722_1_BM	77	yes
MMRF_2723_1_BM	51	yes
MMRF_2727_1_BM	84	yes
MMRF_2728_1_BM	51	yes
MMRF_2729_1_BM	83	yes
MMRF_2730_1_BM	66	yes
MMRF_2731_1_BM	104	yes
MMRF_2732_1_BM	65	yes
MMRF_2733_1_BM	57	yes
MMRF_2734_1_BM	72	yes
MMRF_2737_1_BM	116	yes
MMRF_2738_1_BM	72	yes
MMRF_2739_1_BM	154	yes
MMRF_2740_1_BM	75	yes
MMRF_2742_1_BM	74	yes
MMRF_2743_1_BM	55	yes
MMRF_2745_1_BM	79	yes
MMRF_2746_1_BM	64	yes
MMRF_2750_1_BM	65	yes
MMRF_2751_1_BM	57	yes
MMRF_2752_1_BM	50	yes
MMRF_2753_1_BM	66	yes
MMRF_2754_1_BM	53	yes
MMRF_2755_1_BM	44	yes
MMRF_2756_1_BM	52	yes
MMRF_2757_1_BM	65	yes
MMRF_2758_1_BM	57	yes
MMRF_2760_1_BM	64	yes
MMRF_2761_1_BM	89	yes
MMRF_2762_1_BM	62	yes
MMRF_2763_1_BM	52	yes
MMRF_2764_1_BM	99	yes
MMRF_2765_1_BM	80	yes
MMRF_2767_1_BM	106	yes
MMRF_2768_1_BM	63	yes
MMRF_2769_1_BM	39	yes
MMRF_2770_1_BM	62	yes
MMRF_2772_1_BM	48	yes
MMRF_2774_1_BM	43	yes
MMRF_2775_1_BM	55	yes
MMRF_2776_1_BM	54	yes
MMRF_2778_1_BM	87	yes
MMRF_2779_1_BM	104	yes
MMRF_2781_1_BM	72	yes
MMRF_2782_1_BM	52	yes
MMRF_2787_1_BM	60	yes
MMRF_2788_1_BM	62	yes
MMRF_2789_1_BM	59	yes
MMRF_2792_1_BM	73	yes
MMRF_2793_1_BM	95	yes
MMRF_2794_1_BM	73	yes
MMRF_2795_1_BM	75	yes
MMRF_2799_1_BM	87	yes
MMRF_2801_1_BM	83	yes
MMRF_2805_1_BM	61	yes
MMRF_2807_1_BM	85	yes
MMRF_2808_1_BM	55	yes
MMRF_2813_1_BM	69	yes
MMRF_2814_1_BM	81	yes
MMRF_2815_1_BM	41	yes
MMRF_2816_1_BM	69	yes
MMRF_2817_1_BM	84	yes
MMRF_2818_1_BM	50	yes
MMRF_2819_1_BM	79	yes
MMRF_2820_1_BM	73	yes
MMRF_2821_1_BM	46	yes
MMRF_2822_1_BM	70	yes
MMRF_2823_1_BM	58	yes
MMRF_2826_1_BM	62	yes
MMRF_2827_1_BM	68	yes
MMRF_2828_1_BM	64	yes
MMRF_2829_1_BM	79	yes
MMRF_2830_1_BM	64	yes
MMRF_2831_1_BM	53	yes
MMRF_2832_1_BM	68	yes
MMRF_2833_1_BM	101	yes
MMRF_2834_1_BM	44	yes
MMRF_2835_1_BM	59	yes
MMRF_2836_1_BM	62	yes
MMRF_2838_1_BM	85	yes
MMRF_2839_1_BM	136	yes
MMRF_2840_1_BM	119	yes
MMRF_2847_1_BM	92	yes
MMRF_2848_1_BM	81	yes
MMRF_2851_1_BM	76	yes
MMRF_2853_1_BM	135	yes
