term	estimate	std.error	statistic	p.value	conf.low	conf.high
OLD	2.6123241492013	0.42356842529410127	2.267025222779954	0.023388684946884033	1.1388983609554801	5.991963545171048
SEXM	1.1728812859582396	0.20569767633999356	0.7752316987501909	0.4382027604544883	0.783725319131668	1.75527123772805
ISS1	0.8731075173652182	0.2391082448879317	-0.5675110546504564	0.5703670181484874	0.546434888812093	1.3950733243568547
ISS3	2.0719986180306003	0.23505896271251261	3.0992804912287886	0.001939912682608045	1.3070942663584666	3.2845207752929775
HB_m_105	1.0035816993525788	0.220822249571045	0.016190851915509664	0.9870821336223525	0.6510112500097551	1.5470949653486294
PLT_m_150	2.066459009372953	0.22130552946209495	3.2797938703253346	0.001038829567178742	1.3392177189659982	3.1886173375272273
MMrisk_class_t_CCND21q&13+_pure	1.5628455405970993	0.3080871122606669	1.4492921202871103	0.14725602068443255	0.8544208397585776	2.858645377205898
MMrisk_class_t_CCND2del 13q only	1.1765323399727665	0.2733746717382993	0.5946835383958228	0.5520550275052899	0.6885047279581469	2.0104848823724257
MMrisk_class_t_CCND2gain 1q only 	1.1183311636962798	0.3837288224398252	0.291449417272408	0.7707076245476615	0.5271568587078019	2.3724714400187796
MMrisk_class_t_CCND2t&1q&13+	4.625404490960115	0.3144388525925334	4.870784294044526	1.1115613857621423e-6	2.4974619550807127	8.5664434893474
FISH_Del_17p	3.09041722969905	0.23270844261084414	4.848582608040222	1.2434674798902106e-6	1.958553011530263	4.876395276203723
FISH_Del_1p36	1.504144773489955	0.26349040589629624	1.5492954230185647	0.12131071952531942	0.8974416039582216	2.52100135500568
HyperDiploidy	1.2248281182990635	0.22583459763372005	0.898004666620735	0.3691830615625838	0.7867638373012505	1.9068033484126683
FISH_T_4_14_pure	1.4575210906009737	0.3537648608656018	1.0649364908973251	0.2869046704240042	0.7286008143189813	2.9156812451991088
FISH_T_14_16_pure	5.969242243306006	0.5941982242726785	3.0067743708187717	0.0026403565944298265	1.8626735957071763	19.129413248455403
FISH_T_14_20_pure	5.167951795585235	0.7867986396879767	2.0875435671934115	0.03683902712036106	1.105590346000831	24.15698170493304
FISH_T_11_14	1.5503726803025843	0.3042897567952925	1.4410453560888024	0.14957186953855117	0.8539337850686548	2.814803079416011
FISH_T_6_14	0.7639580061278588	1.0515937971056721	-0.2560327551080714	0.7979255451318574	0.09726379790073367	6.000504275213492
